id,State,District,Name,Category,Imgae,Description,ByAir,ByTrain,ByRoad
11,Uttarkhand,Chamoli,Hemkund sahib,Natural,https://i.postimg.cc/Y2RZdYGx/11.jpg,"Situated at a height of over 15,000 feet above the sea level in the Himalayan ranges of district Chamoli , Sri Hemkunt Sahib has emerged as a popular centre of Sikh Pilgrimage which is visited by thousands of devotees from all over the world every summer. Hemkund is inaccessible because of snow from October through April.","The nearest Airport is Jolly Grant Airport in Dehradun, which is about 268 km from Hemkund Sahib which is situated near Govindghat. Taxi and bus services are available from Dehradun airport to Hemkund Sahib.","Rishikesh, Haridwar & Dehradun all have Railway Stations. Nearest rail-head from Hemkund Sahib is Rishikesh (200 km approx). From Rishikesh one can take a bus/Taxi to reach Hemkund Sahib.","Hemkund Sahib is located on Rishikesh-Badrinath national highway. From Rishikesh, the entry point is at Gobind Ghat  which is at a distance of  332  km. A 20 km trek from Gobind Ghat will end at Hemkund Sahib."
12,Uttarkhand,Chamoli,Badrinath,Religious,https://i.postimg.cc/VsjwFJmf/12.jpg,"Badrinath is well-known in the famous Char Dhams of India. Badrinath Dham is a religious place where both Nar and Narayan meet. According to the beliefs of the scriptures, it is also called Vishalpuri. Lord Vishnu is worshiped in Badrinath Dham. That is why it is also called Vishnudham. This Dham is one of the oldest pilgrims of the Himalayas. The main entrance of the temple is decorated with beautiful paintings. The main gate is named as Singhdwar. Badrinath Temple has very small statues of black stone with four arms. Here Lord Vishnu sits in the currency of Padmasana.According to the belief related to Badrinath Dham, this Dham was established in Satyuga. This is the reason here, that the Greatness of this Dham has been found in all major scriptures. The idol of Lord Vishnu established in this Dharam has a diamond on the head. The idol is decorated with the crown of gold. The main idol here has many other idols. The idols of Narayana, Udvavji, Kuber and Narada are prominent among them. A trunk near the temple, whose water is always hot","The nearest Airport is Jolly Grant Airport in Dehradun, which is about 317 km from Badrinath. Taxi and bus services are available from Dehradun airport to Badrinath.","Rishikesh, Haridwar & Dehradun all have Railway Stations. Nearest rail-head from Badrinath is Rishikesh (297 km approx). From Rishikesh one can take a bus/Taxi to reach Badrinath.","Badrinath  is situated on National Highway no 58. State transport buses play regularly between Badrinath and Rishikesh (297 km). Local Transport Union Buses and State Transport buses operate between Badrinath and Rishikesh (297 km), Haridwar (320 km), Dehradun (340 km) and Delhi (530 km)."
13,Uttarkhand,Champawat,Mayawati ashram,Historic,https://i.postimg.cc/ZnMKzgR8/13.jpg,"22 km from Champawat and 9 km from Lohaghat, this ashram is situated at an altitude of 1940 meters. Mayawati shot into prominence after the Advait Ashram was established here. The ashram attracts spiritualists from India and abroad. Amid and old tea Estate, is the Advait Ashram of Mayawati. During his third visit to Almora in 1898, Swami Vivekanand decided to shift the publication office of â€˜Prabuddh Bharatâ€™ from Madras to Mayawati, from where it is published since then. The only presence that has become a part of the peace and solitude of Mayawati, is that of the mighty Himalaya in all its splendor. On request the Ashram provides board and lodging to visitors. There is also a library and a small museum at Mayawati.",The nearest airport to Mayawati Ashram is Pantnagar Airport situated 160kms away in the Nainital district of Uttarakhand state. Taxis are available from Pantnagar Airport to Mayawati Ashram. Pantnagar is connected to Delhi with four round flight in a week.,"Mayawati Ashram is situated at a distance of 60 kms from Champawat. Taxis and buses are easily available from Tanakpur Railway Station to  Mayawati Ashram . Tanakpur is well connected with major destinations of India like Lucknow, Delhi, Agra and Kolkata. Trains are frequent to Tanakpur Railway Station and Mayawati Ashram is well connected by motorable roads with Tanakpur.","Mayawati Ashram is well connected by motorable roads with major destinations of Uttarakhand state and northern India. Buses from ISBT Anand Vihar are available to Tanakpur, Lohaghat and many other destinations from where you can easily hire a local cab or bus to reach"
14,Uttarkhand,Champawat,Abott mount,Natural,https://i.postimg.cc/CL8zVhGd/14.jpg,"This place was discovered by Britisher John Abbott (whose descendants now live in Jhansi) in the pre-independence era and he decided to name the hill after himself. He built 13 cottages here and some of these still survive. Panorama takes a new meaning as you treat yourself to views of peaks like Trishul, Nanda Kot, Nanda Ghunti and the Nanda Devi spanning in an arc in front of you across a valley. This is the place where you just walk around amidst the woods with no traffic or sounds, sip tea with clouds below and watch beautiful sunsets. There is a church built in 1942, locked now, where prayers are supposedly still held once or twice a year. You can even play a game of cricket on what is claimed to be the second highest pitch after Chail in Himachal Pradesh at just under 7,000 feet.",,,Null
15,Uttarkhand,Champawat,Pancheshwar,Others,https://i.postimg.cc/PqGSXzFY/15.jpg,"40 kms. from Lohaghat at the confluence of river Kali and Saryu, Pancheshwar forms the borders with Nepal and is famous for the temple of Chaumu, its fair and a dip at the confluence is considered to be very sacred. The Jaat (jamaan) of Chaumu comes down from villages Sail, 5 km. above the temple. Chaumu is worshiped as a protector of animals. Bells and milk are offered in the temple of Pancheshwar. Chaumu Jaat of Pancheshwar has its unique way of cultural expression. The temple at Pancheshwar is devoted to Lord Shiva.",,Null,Null
16,Uttarkhand,Champawat,Aditya temple,Religious,https://i.postimg.cc/jjBVH75h/16.jpg,"â€˜ADITYA TEMPLE,â€™ a beautiful temple of God Sun and Shiva is located at Ramak village of Champawat district in Uttarakhand. It is one of the famous and rare temples of God Sun, which was establishedby the kings of Chand dynasty in the 16th century. Legends also believe that during the exile, Pandavas visited this place and worshipped god â€˜Shivaâ€™ and consecrated the pious â€˜Shivalingaâ€™here.",Null,Null,
17,Uttarkhand,Champawat,Gurdwara reetha sahib,Religious,https://i.postimg.cc/8c60mpcf/17.jpg,"Gurdwara Reetha Sahib is only 60 kms. by flying distance north of Nanak Mata, but the distance by motorable road is 209 kms. It is 166 kms. from Tanakpur, the last railway station on Bareilly-Tanakpur section. Here, too, Guru Nanak Dev had an encounter with Nath yogis whom he tried to bring to the path of active humanitarian service along with remembrance of Godâ€™s Name. The story is not mentioned in the Janamsakhis, but locally a strong tradition has grown that Guru Nanak Dev miraculously made the normally bitter fruit of a soapnut tree sweet for Bhai Mardana to feed on.",Null,,
18,Uttarkhand,Champawat,Baleshwar temple,Religious,https://i.postimg.cc/0Nh3MK21/18.jpg,"Baleshwar, 76 kms. from Pithoragarh, situated at Champawat is the most artistic temple of the district. There are evidences that the group of temples dedicated to Baleshwar, Ratneshwar and Champawati Durga were built by the early kings of the Chand dynasty. The temple once had intricate structural features and a sanctuary with a mandap. The intricate carving still visible on the ceilings of these temples is an evidence of their ancient glory and artistic excellence.","The nearest airport to Aditya Temple, Ramak is Pantnagar situated around 150kms away in the Nainital district of Uttarakhand state. Taxis are available from Pantnagar Airport to Aditya Temple, Ramak.","The nearest railway stations is Kathgodam, which is around 115 kms from Aditya Temple, Ramak. Taxis and buses are easily available from Kathgodam and Haldwani. Kathgodam/ Haldwani is well connected with major destinations of India like Lucknow, Delhi, Agra etc.",Ramak is well connected by motorable road now with major destinations of Uttarakhand state and northern India. Buses from ISBT Anand Vihar are available to Haldwani and many other nearby destinations from where pilgrims can easily hire a local taxi or bus to reach.
19,Uttarkhand,Champawat,Gwal devta,Religious,https://i.postimg.cc/tRr2cVWd/19.jpg,"A deity of widespread faith and influence, Gwal Devta also known as Goril or Goll, is considered to be the presiding deity of justice. It is believed that when approached, Gwal Devta dispenses justice to a helpless victim of injustice and cruelty. Historically, Goril a Katyuric prince of Champawat, known for his unwavering justice and fair play, was himself a victim of planned conspiracy hatched up by his step mother, who had thrown him into a river, locked up in an iron cage. Held in high esteem as a symbol of justice, a temple was dedicated to him at Gwarail Chaur at in Champawat and ever since he has grown into a deity of great influence attracting innumerable pilgrims around him. As per a story, Harish Chandra was a famous king of Champawat, who after his death, was worshipped as the folk god â€˜Haruâ€™. Haruâ€™s motherâ€™s name was Kainer and he is said to be Gwallâ€™s maternal uncle.",The nearest airport to Meetha Reetha Saheb  is Pantnagar Airport situated 160kms away in the Nainital district of Uttarakhand state. Taxis are available from Pantnagar Airport to Meetha Reetha Saheb. Pantnagar is connected to Delhi with four round flight in a week.,"Meetha Reetha Saheb is situated at a distance of 100 kms from Champawat. Taxis and buses are easily available from Tanakpur Railway Station to   Meetha Reetha Saheb . Tanakpur is well connected with major destinations of India like Lucknow, Delhi, Agra and Kolkata. Trains are frequent to Tanakpur Railway Station and Reetha Saheb is well connected by motorable roads with Tanakpur.","Meetha Reetha Saheb  is well connected by motorable roads with major destinations of Uttarakhand state and northern India. Buses from ISBT Anand Vihar are available to Tanakpur, Lohaghat and many other destinations from where you can easily hire a local cab or bus to reach"
20,Uttarkhand,Champawat,Purnagiri,Religious,https://i.postimg.cc/RFPHjRnc/20.jpg,"At a height of 3000 feet above sea level, Purnagiri is 20 kms from Tanakpur, 171 kms from Pithoragarh and 92 kms from Champawat. Purnagiri temple is visited throughout the year by devotees from all parts of the country, who come here in large numbers, particularly during Chaitra Navratri in the month of March â€“ April. The surrounding valleys echo with the holy chantings of the devotees climbing up to the top for darshan, creating an atmosphere of spirituality. From Purnagiri, also known as Punyagiri, the river Kali descends into the plains and is known as Sharda. For visiting this shrine one can go upto Thuligaarh by vehicle. From this place one has to trek (the road is under construction upto Tunyas ). After the ascent of Bans ki Charhai comes Awalakhan (the new name is Hanuman Chatti).The south â€“ western part of â€˜Punya Parvatâ€™ can be seen from this place. Another ascent ends at the TRC of Tanki. The region of temporary shops and residential huts start from this place upto Tunyas. From the highest point (the temple) of Purnagiri hill the pilgrim can see the expanse of Kali, its islands, the township of Tanakpur and a few Nepali villages. The old Buram Deo Mandi is very close to Purnagiri. From Tanakpur or Purnagiri it is possible to trek to Tamli and even to Jhulaghat along the Kali river.",,,Null
21,Uttarkhand,Champawat,Lohaghat,Natural,https://i.postimg.cc/J0MpqmBp/21.jpg,"At an elevation of 1706 mts., Lohaghat is 62 Kms. away from Pithoragarh on way to Tanakpur and 14kms.from Champawat district headquarters. Lohaghat which is situated on the bank of river Lohawati is a centre of historical and mythological importance. In 1841, so overcome was Pilgrim (Barron) by its beauty, that he had surprised why the Government of India was not developing it as its summer capital. In summer season Lohaghat is full of Burans flowers.",,Null,
22,Uttarkhand,Champawat,Champawat,Others,https://i.postimg.cc/kXcgwyLs/22.jpg,Â ,Null,,
23,Uttarkhand,Haridwar,Har ki pauri, Religious,https://i.postimg.cc/m2t8bdRp/23.jpg,Har ki Pauri is major and popular ghat on the banks of Ganges in Haridwar . It was built by king Vikramaditya.,The nearest airport to Champawat is Pantnagar Airport situated 160kms away in the Nainital district of Uttarakhand state. Taxis are available from Pantnagar Airport to Champawat. Pantnagar is connected to Delhi with four round flight in a week.,"Gwal Deveta Temple is situated at a distance of 2 kms from Champawat. Taxis and buses are easily available from Tanakpur Railway Station to  Champawat . Champawat is well connected with major destinations of India like Lucknow, Delhi, Agra and Kolkata. Trains are frequent to Tanakpur Railway Station and Champawat is well connected by motorable roads with Tanakpur.","Champawat  is well connected by motorable roads with major destinations of Uttarakhand state and northern India. Buses from ISBT Anand Vihar are available to Champawat, Lohaghat and many other destinations from where you can easily hire a local cab or bus to reach"
24,Uttarkhand,Haridwar,Chandi devi temple,Religious,https://i.postimg.cc/HxKDxrJf/24.jpg,Chandi Devi Temple is very famous temple in Haridwar. This temple is dedicated to goddess Chandi devi. It is Situated at Neel parvat .,The nearest airport to Purnagiri is Pantnagar Airport situated 160kms away in the Nainital district of Uttarakhand state. Taxis are available from Pantnagar Airport to Purnagiri . Pantnagar is connected to Delhi with four round flight in a week.,"Purnagiri is situated at a distance of 60 kms from Champawat. Taxis and buses are easily available from Tanakpur Railway Station to  Purnagiri . Tanakpur is well connected with major destinations of India like Lucknow, Delhi, Agra and Kolkata. Trains are frequent to Tanakpur Railway Station and Purnagiri  is well connected by motorable roads with Tanakpur.","Purnagiri  is well connected by motorable roads with major destinations of Uttarakhand state and northern India. Buses from ISBT Anand Vihar are available to Tanakpur, Lohaghat and many other destinations from where you can easily hire a local cab or bus to reach"
25,Uttarkhand,Haridwar,Mansa devi temple,Religious,https://i.postimg.cc/BQj5HXjm/25.jpg,Mansa Devi Temple is very famous temple in Haridwar. This temple is dedicated to goddess Mansa devi. It is Situated at Bilwa parvat .,,,Null
26,Uttarkhand,Haridwar,Rajaji national park,Adventure,https://i.postimg.cc/FsXCxMSt/26.jpg,"Haridwar is also a popular destination for nature and adventure lovers. The Rajaji National Park is about 820 sq. km. in area; attracts wildlife lovers with its pristine scenic beauty and rich bio diversity. Three sanctuaries of the Shivalik range of western U.P. -Rajaji, Motichur and Chilla were amalgamated into a large protected area and named Rajaji National Park in year 1983It has 23 species of mammals and 315 avifauna species. One may watch a herd of elephants roaming majestically in the jungle or may find oneself excited by wildlife of many kinds including tigers, leopard, jungle cat, Himalayan yellow throated marten, samber, cheetal, barking deer, wild boar, langoor, ghural, sloth beer, king cobra, woodpecker etc. The river shelters fish in abundance. For further information on the subject, one may contact the Directorâ€™s office, 5/1 Ansari Marg, Dehradun-248001, Phone no. 0135-621669.
For Details Please Visit
",,Null,Null
27,Uttarkhand,Haridwar,Piran kaliyar,Religious,https://i.postimg.cc/cJV1k1ZM/27.jpg,"The â€˜Dargahâ€™ of Hazrat Makhdum Allauddin Ali Ahamed â€˜Sabirâ€™ on the outskirts of Roorkee town is a worth-visit-place for every visitor. It is situated towards the south of Haridwar. This place is one of the living examples of unity between the Hindu and Muslim religions. Famed for its mystical powers that fulfill the desires of the devout, the Dargah is visited by millions of devotees from all religions from India and abroad. The Urs is celebrated at this Dargah every year, from the first day of sighting the moon to the sixteenth day during the Rabeeull month of the Islamic calendar.",Null,Null,
28,Uttarkhand,Haridwar,Sureshwari devi temple,Religious,https://i.postimg.cc/Wp6dfZy9/28.jpg,Sureshwari Devi is an old tempale in Haridwar. This temple is dedicated to Goddess Durga and is located at outskirts of Haridwar in Ranipur.Â  Situated in the peaceful forest area of Rajaji National park.,Null,,
29,Uttarkhand,Nainital,Ghorakhal,Natural,https://i.postimg.cc/3rbYJCdf/29.jpg,Famous for the temple of Lord Golu worshipped by hill people and sainik school this place is at a distance of 3 Kms from Bhowali.,Jolly Grant Dehardun Airport is the nearest Airport to haridwar situated at a distance of 72 kms. Taxis are easily available from Jolly Grant Airport. Jolly Grant Airport is well connected to Delhi with daily flights and is well connected by motorable roads .,The nearest railway station Haridwar Railway station. Haridwar is well connected by railway networks with major destinations of India.,15 km from District Headquarter
30,Uttarkhand,Nainital,Naukuchiatal,Natural ,https://i.postimg.cc/dVXKJq37/30.jpg,"It is 26 Kms from Nainital and 4 Kms from Bhimtal at 1220 mts above sea level.A pretty deep clean lake with its nine corner is a captivating site.Length of lake is 983 mts. ,breadth is 693 mts & depth 40.3 mts.It is within an enchanting valley offering an opportunity of angling and bird watching.There is ample scope for rowing ,paddling or yachting.",Jolly Grant Dehardun Airport is the nearest Airport to haridwar situated at a distance of 72 kms. Taxis are easily available from Jolly Grant Airport. Jolly Grant Airport is well connected to Delhi with daily flights and is well connected by motorable roads .,The nearest railway station Haridwar Railway station. Haridwar is well connected by railway networks with major destinations of India.,15 km from District Headquarter
31,Uttarkhand,Nainital,Kaichi dham,Religious,https://i.postimg.cc/0Nkxttzn/31.jpg,"On the Nainital â€“ Almora Road , 9 Km from Bhowali and 17 Kms from Nainital is a modern pilgrim centre. This place has achieved recognition owing to the ashram of the famous Neem Karoli Maharaj. Kaichi is a term used for two sharp hairpin bends of the motor road in local dialect hence the name. It has no relation with scissors.",Jolly Grant Dehardun Airport is the nearest Airport to haridwar situated at a distance of 72 kms. Taxis are easily available from Jolly Grant Airport. Jolly Grant Airport is well connected to Delhi with daily flights and is well connected by motorable roads .,The nearest railway station Haridwar Railway station. Haridwar is well connected by railway networks with major destinations of India.,15 km from District Headquarter
32,Uttarkhand,Nainital,Mukteshwar,Natural ,https://i.postimg.cc/TP0bSHC3/32.jpg,This beautiful place is 2286 mts in altitude and 51 Kms. from Nainital. Surrounded by fruit orchards and thick coniferous forest it was developed by the Britishers as research and education institute (IVRI) in 1893. It is the celebrated scenic spot overlooking long ranges of Himalaya.An old temple of Lord Shiva exist on the top of a rock.,Jolly Grant Dehardun Airport is the nearest Airport to haridwar situated at a distance of 72 kms. Taxis are easily available from Jolly Grant Airport. Jolly Grant Airport is well connected to Delhi with daily flights and is well connected by motorable roads .,"The nearest railway station Haridwar Railway station. Haridwar  is well connected by railway networks with major destinations of India. Shatabdi Express and Mussoorie Express are the two major trains connecting Haridwar with major cities of India and has excellent rail network with all important cities like Amritsar, Howrah, Bombay, Delhi, Lucknow, Varanasi etc.",8 km from District Headquarter
33,Uttarkhand,Pauri garhwal,Tarkeshwar mahadev temple,Others,https://i.postimg.cc/MG347wg7/33.jpg,"This temple dedicated to Lord Shiva. Is is 36 kms from Lansdowne, the headquarter of â€˜Garhwal Rifleâ€™. Surrounded by thick forests of Deodar & Pine, it is an ideal place for those who seek for beauty in nature. During Shivratri, a special worship is held. The temple committee provides a dharamshala for accommodation.",70 KM from Pantnagar Airport.,33 KM from Kathgodam Railway Station.,Sattal is 23 KM from Nainital and 12 KM from Bhowali.
