Id,From,To,By Air,By Road,By Train
46,Mumbai,Edapally st. george forane church,6400,2500,900
47,Mumbai,Bolgatty palace,7000,1500,1000
48,Mumbai,Wonderla,5000,2000,1156
49,Mumbai,Mangalavanam bird sanctuary,5600,1300,800
50,Mumbai,Ernakulam shiva temple,6400,1300,800
51,Mumbai,Hill palace,6500,1700,1200
52,Mumbai,Fort kochi,6800,1500,800
53,Mumbai,Bhoothathaankettu,6700,1700,1800
54,Mumbai,Cherai beach,6400,2000,1400
55,Mumbai,Kulamavu dam,7800,3800,2300
56,Mumbai,Cheruthoni dam,8000,3300,2000
57,Mumbai,"Periyar tiger reserve, thekkady",9100,2500,1100
58,Mumbai,Munnar,8300,1600,3000
59,Mumbai,Idukki arch dam,8000,3300,3000
60,Mumbai,Paithalmala,5800,2300,1900
61,Mumbai,Kannur fort,5500,1800,700
62,Mumbai,Payyambalam beach,6000,1600,700
63,Mumbai,Valiyaparamba,6400,1800,900
64,Mumbai,Ranipuram hill station,7500,4000,2300
65,Mumbai,Bekal fort,6400,3000,1400
66,Mumbai,Jatayu adventure center,4300,3000,1500
67,Mumbai,Thenmala,5000,3300,1200
68,Mumbai,Palaruvi waterfalls,5800,3500,1300
69,Mumbai,Illickal kallu,7400,3000,1600
70,Mumbai,Aruvikuzhy waterfalls,7500,2700,1300
71,Mumbai,Malarikkal village tourism,7600,2400,1200
72,Mumbai,Ilaveezhapoonchira,7800,3000,1800
73,Pune,Ghorakhal,1000,2000,5000
74,Pune,Naukuchiatal,700,2400,5400
75,Pune,Kaichi dham,800,1800,4800
76,Pune,Mukteshwar,2700,4200,4200
77,Pune,Tarkeshwar mahadev temple,2700,4200,6200
78,Pune,Shri koteshwar mahadev temple,800,3000,4000
79,Pune,Chandak,1200,2900,5900
80,Pune,Narayan ashram,1500,2990,3990
81,Pune,Devprayag,1000,2800,5800
82,Pune,Dhanaulti,1100,3900,6900
83,Pune,Kunjapuri,2500,4000,5800
84,Pune,Dam in udhamsinghnagar,2500,4000,6099
85,Mumbai,Ghorakhal,1000,2800,4800
86,Mumbai,Naukuchiatal,700,2700,4780
87,Mumbai,Kaichi dham,1000,3000,4559
88,Mumbai,Mukteshwar,2200,4000,6599
89,Mumbai,Tarkeshwar mahadev temple,1200,3400,6407
90,Mumbai,Shri koteshwar mahadev temple,1200,2000,7800
91,Mumbai,Chandak,2000,4000,5430
92,Mumbai,Narayan ashram,3000,4000,4999
93,Mumbai,Devprayag,1000,2000,5000
94,Mumbai,Dhanaulti,700,2400,5400
95,Mumbai,Kunjapuri,800,1800,4800
96,Mumbai,Dam in udhamsinghnagar,2700,4200,4200
97,Pune,Pancheshwar,2700,4200,6200
98,Pune,Aditya temple,800,3000,4000
99,Pune,Gurdwara reetha sahib,1200,2900,5900
100,Pune,Baleshwar temple,1500,2990,3990
101,Pune,Gwal devta,1000,2800,5800
102,Pune,Purnagiri,1100,3900,6900
103,Pune,Lohaghat,2500,4000,5800
104,Pune,Champawat,2500,4000,6099
105,Pune,Har ki pauri,1000,2800,4800
106,Pune,Chandi devi temple,700,2700,4780
107,Pune,Mansa devi temple,1000,3000,4559
108,Pune,Rajaji national park,2200,4000,6599
109,Pune,Piran kaliyar,1200,3400,6407
110,Pune,Sureshwari devi temple,1200,2000,7800
111,Mumbai,Pancheshwar,2000,4000,5430
112,Mumbai,Aditya temple,3000,4000,4999
113,Mumbai,Gurdwara reetha sahib,2500,4000,6099
114,Mumbai,Baleshwar temple,1000,2800,4800
115,Mumbai,Gwal devta,700,2700,4780
116,Mumbai,Purnagiri,1000,3000,4559
117,Mumbai,Lohaghat,2200,4000,6599
118,Mumbai,Champawat,1200,3400,6407
119,Mumbai,Har ki pauri,1200,2000,7800
120,Mumbai,Chandi devi temple,2000,4000,5430
121,Mumbai,Mansa devi temple,3000,4000,4999
122,Mumbai,Rajaji national park,1000,2000,5000
123,Mumbai,Piran kaliyar,700,2400,5400
124,Mumbai,Sureshwari devi temple,800,1800,4800
125,Pune,Vembanad lake,1199,2390,6789
126,Pune,Poonjar palace,1133,3460,6040
127,Pune,Kallayi,777,2300,5488
128,Pune,Kandrour bridge,2000,4000,5430
129,Pune,Gobind sagar lake,3000,4000,4999
130,Pune,Bhakra dam,1000,2000,5000
131,Pune,Manimahesh lake,700,2400,5400
132,Pune,"Gandasru mahadev, churah valley (chamba)",800,1800,4800
133,Pune,Khajjiar,2700,4200,4200
134,Pune,Hamirpur,2700,4200,6200
135,Pune,Nadaun,800,3000,4000
136,Pune,Sujanpur,1200,2900,5900
137,Pune,Baba balak nath deoth sidh,1500,2990,3990
138,Mumbai,Vembanad lake,1000,2800,5800
139,Mumbai,Poonjar palace,1100,3900,6900
140,Mumbai,Kallayi,2500,4000,5800
141,Mumbai,Kandrour bridge,2500,4000,6099
142,Mumbai,Gobind sagar lake,1000,2800,4800
143,Mumbai,Bhakra dam,700,2700,4780
144,Mumbai,Manimahesh lake,1000,3000,4559
145,Mumbai,"Gandasru mahadev, churah valley (chamba)",2200,4000,6599
146,Mumbai,Khajjiar,1200,3400,6407
147,Mumbai,Hamirpur,1200,2000,7800
148,Mumbai,Nadaun,2000,4000,5430
149,Mumbai,Sujanpur,3000,4000,4999
150,Mumbai,Baba balak nath deoth sidh,2338,3400,5490
